id,stripe_price_id,stripe_product_id,name,description,price_cents,currency,interval,features,max_requests_per_month,is_active,created_at,updated_at,last_synced_at,stripe_metadata,sync_status,is_stripe_managed
12575347-b470-4909-89c0-18a320c0a4d3,price_1PP4P2P3PqPfy1jMg755YNF3,prod_QFZY3T98m22Y4R,Enterprise DesignWorks +,,450000,GBP,month,"[""5 requests/month"", ""48h turnaround"", ""Email support""]",5,true,2025-07-19 13:49:52.087548+00,2025-07-19 13:49:52.087548+00,2025-07-19 13:49:52.111+00,"{""features"": ""\""[\\\""5 requests/month\\\"",\\\""48h turnaround\\\"",\\\""Email support\\\""]\"""", ""plan_type"": ""\""Enterprise+\"""", ""max_requests"": ""\""5\"",""}",synced,true
22c2971d-5ee3-4e07-8fa6-4b91edae814f,price_1PP4O6P3PqPfy1jMxw8JtIad,prod_QFZXTBOqXmXqNG,Enterprise DesignWorks,,250000,GBP,month,"[""\""[\\\""5 requests/month\\\"""", ""\\\""48h turnaround\\\"""", ""\\\""Email support\\\""]\""""]",5,true,2025-07-19 13:49:52.087548+00,2025-07-19 13:49:52.087548+00,2025-07-19 13:49:52.111+00,"{""features"": ""\""[\\\""5 requests/month\\\"",\\\""48h turnaround\\\"",\\\""Email support\\\""]\"","", ""plan_type"": ""Enterprise"", ""max_requests"": "" \""5\"",""}",synced,true
7a17066d-3954-45f0-92b5-bd3cb4186959,price_1PP4N8P3PqPfy1jMpxXppeTe,prod_QFZWkyEjybKRA1,Business DesignWorks,,124900,GBP,month,"[""5 requests/month"", ""48h turnaround"", ""Email support""]",10,true,2025-07-19 13:49:52.087548+00,2025-07-19 13:49:52.087548+00,2025-07-19 13:49:52.111+00,"{""features"": ""\""[\\\""5 requests/month\\\"",\\\""48h turnaround\\\"",\\\""Email support\\\""]\"""", ""plan_type"": ""Business"", ""max_requests"": ""\""10\""""}",synced,true
e5b3e47c-8b91-4da4-93eb-65dc2a942fff,price_1PP4M8P3PqPfy1jM3lzwQMmc,prod_QFZV2BC2s8F899,DesignWorks Essential,,79900,GBP,month,"[""5 requests/month"", ""48h turnaround"", ""Email support""]",5,true,2025-07-19 13:49:52.087548+00,2025-07-19 13:49:52.087548+00,2025-07-19 13:49:52.111+00,"{""features"": ""\""[\\\""5 requests/month\\\"",\\\""48h turnaround\\\"",\\\""Email support\\\""]\"""", ""plan_type"": ""\""starter\"""", ""max_requests"": ""\""5\"",""}",synced,true
